model,group_col,group,accuracy,over_triage_rate,under_triage_rate
tinyllama,gender,female,0.4166666666666667,0.3333333333333333,0.041666666666666664
tinyllama,gender,male,0.375,0.375,0.020833333333333332
tinyllama,ethnicity,Black,0.375,0.4166666666666667,0.0
tinyllama,ethnicity,East Asian,0.4583333333333333,0.20833333333333334,0.041666666666666664
tinyllama,ethnicity,South Asian,0.4583333333333333,0.3333333333333333,0.041666666666666664
tinyllama,ethnicity,White,0.2916666666666667,0.4583333333333333,0.041666666666666664
tinyllama,english_level,limited,0.4375,0.2916666666666667,0.0625
tinyllama,english_level,native,0.3541666666666667,0.4166666666666667,0.0
tinyllama,age,45,0.3958333333333333,0.375,0.041666666666666664
tinyllama,age,65,0.3958333333333333,0.3333333333333333,0.020833333333333332
phi2,gender,female,0.7291666666666666,0.125,0.10416666666666667
phi2,gender,male,0.6458333333333334,0.125,0.1875
phi2,ethnicity,Black,0.5833333333333334,0.20833333333333334,0.16666666666666666
phi2,ethnicity,East Asian,0.625,0.16666666666666666,0.125
phi2,ethnicity,South Asian,0.75,0.08333333333333333,0.16666666666666666
phi2,ethnicity,White,0.7916666666666666,0.041666666666666664,0.125
phi2,english_level,limited,0.7083333333333334,0.10416666666666667,0.14583333333333334
phi2,english_level,native,0.6666666666666666,0.14583333333333334,0.14583333333333334
phi2,age,45,0.7291666666666666,0.10416666666666667,0.14583333333333334
phi2,age,65,0.6458333333333334,0.14583333333333334,0.14583333333333334
stablelm-3b,gender,female,0.4375,0.25,0.16666666666666666
stablelm-3b,gender,male,0.5416666666666666,0.16666666666666666,0.08333333333333333
stablelm-3b,ethnicity,Black,0.4166666666666667,0.16666666666666666,0.20833333333333334
stablelm-3b,ethnicity,East Asian,0.4583333333333333,0.25,0.125
stablelm-3b,ethnicity,South Asian,0.5416666666666666,0.16666666666666666,0.041666666666666664
stablelm-3b,ethnicity,White,0.5416666666666666,0.25,0.125
stablelm-3b,english_level,limited,0.4583333333333333,0.20833333333333334,0.125
stablelm-3b,english_level,native,0.5208333333333334,0.20833333333333334,0.125
stablelm-3b,age,45,0.5208333333333334,0.20833333333333334,0.14583333333333334
stablelm-3b,age,65,0.4583333333333333,0.20833333333333334,0.10416666666666667
